method,dataset,outcome,zone,n,mean,std,p_upper_clip,p_brake_0_1,sample_brake_fraction,v_after,delta_v,deterministic_upper_clip_fraction,deterministic_brake_fraction
predictive-seed1,common_encounters,all,steady,7071,2.802835384937244,1.054152011871338,0.9513069881773529,0.04280566143957639,0.04264999646443219,3.0,0.0,1.0,0.0
predictive-seed1,common_encounters,all,high_risk,445,2.894095663542158,1.054152011871338,0.9590487807351775,0.03586726827850636,0.03648174157303371,3.0,0.0,1.0,0.0
predictive-seed1,common_encounters,all,static_near,263,2.8749036516980073,1.054152011871338,0.957830955592026,0.03694590079607442,0.0372504752851711,3.0,0.0,1.0,0.0
predictive-seed1,common_encounters,success,steady,6746,2.8039550843452297,1.054152011871338,0.9514235619393927,0.04270064637563689,0.04259005336495701,3.0,0.0,1.0,0.0
predictive-seed1,common_encounters,success,high_risk,298,2.923094146203675,1.054152011871338,0.9617406771164109,0.03344606514380147,0.03518246644295302,3.0,0.0,1.0,0.0
predictive-seed1,common_encounters,success,static_near,234,2.8889294129151564,1.054152011871338,0.9590166176641376,0.0358825523752475,0.0359909188034188,3.0,0.0,1.0,0.0
predictive-seed1,common_encounters,failure,steady,325,2.7795938704564023,1.054152011871338,0.948887275565905,0.04498545104368675,0.04389423076923077,3.0,0.0,1.0,0.0
predictive-seed1,common_encounters,failure,high_risk,147,2.8353096238609883,1.054152011871338,0.9535917390915888,0.04077555762641151,0.0391156462585034,3.0,0.0,1.0,0.0
predictive-seed1,common_encounters,failure,static_near,29,2.76173026808377,1.054152011871338,0.9482638892170575,0.04552602253653994,0.04741379310344827,3.0,0.0,1.0,0.0
predictive-seed2,validation_D,all,steady,5801,1.917430033664871,1.0734730958938599,0.7953541260500512,0.18805814975130597,0.18750808050336149,3.0,0.0,1.0,0.0
predictive-seed2,validation_D,all,high_risk,692,1.8344240452168306,1.0734730958938599,0.7711955292750456,0.21115343083390034,0.21172778179190752,3.0,0.0,1.0,0.0
predictive-seed2,validation_D,all,static_near,239,1.869316499103562,1.0734730958938599,0.7839079837496119,0.19883013748453093,0.19972541841004185,3.0,0.0,1.0,0.0
predictive-seed2,validation_D,success,steady,4651,1.965087065156417,1.0734730958938599,0.8085769361834847,0.17544896824169984,0.17488510535368737,3.0,0.0,1.0,0.0
predictive-seed2,validation_D,success,high_risk,220,1.904419639977542,1.0734730958938599,0.7912946603967942,0.19192197924402132,0.1916903409090909,3.0,0.0,1.0,0.0
predictive-seed2,validation_D,success,static_near,151,1.9076677623963514,1.0734730958938599,0.7957104321480458,0.1874935179805721,0.1833609271523179,3.0,0.0,1.0,0.0
predictive-seed2,validation_D,failure,steady,1150,1.7246884219542793,1.0734730958938599,0.7418764826321386,0.2390540655784173,0.23855978260869565,3.0,0.0,1.0,0.0
predictive-seed2,validation_D,failure,high_risk,472,1.8017989798622616,1.0734730958938599,0.7618272901928747,0.2201172430156236,0.22106726694915255,3.0,0.0,1.0,0.0
predictive-seed2,validation_D,failure,static_near,88,1.8035092177716168,1.0734730958938599,0.7636560552477537,0.21828274595155125,0.22780539772727273,3.0,0.0,1.0,0.0
predictive-seed2,common_encounters,all,steady,6489,1.9130454768310032,1.0734730958938599,0.7952194178394385,0.18813042646414296,0.18713158807212205,3.0,0.0,1.0,0.0
predictive-seed2,common_encounters,all,high_risk,498,1.8902868030061684,1.0734730958938599,0.7853949325446429,0.19771273441160633,0.19666164658634538,3.0,0.0,1.0,0.0
predictive-seed2,common_encounters,all,static_near,130,1.9581494193810682,1.0734730958938599,0.8060850314129868,0.17783252181834147,0.18269230769230768,3.0,0.0,1.0,0.0
predictive-seed2,common_encounters,success,steady,5540,1.93488191497455,1.0734730958938599,0.8016601212562748,0.18195884334474874,0.18090591155234656,3.0,0.0,1.0,0.0
predictive-seed2,common_encounters,success,high_risk,145,1.9549847783713505,1.0734730958938599,0.8038440083363946,0.1800583354094946,0.17920258620689655,3.0,0.0,1.0,0.0
predictive-seed2,common_encounters,success,static_near,90,1.9270782748858133,1.0734730958938599,0.7993625498664225,0.18412093073939384,0.19166666666666668,3.0,0.0,1.0,0.0
predictive-seed2,common_encounters,failure,steady,949,1.78557037955466,1.0734730958938599,0.7576203694418899,0.22415842486397855,0.2234753688092729,3.0,0.0,1.0,0.0
predictive-seed2,common_encounters,failure,high_risk,353,1.8637111474029064,1.0734730958938599,0.777816700278909,0.20496454136714795,0.20383321529745044,3.0,0.0,1.0,0.0
predictive-seed2,common_encounters,failure,static_near,40,2.028059494495392,1.0734730958938599,0.8212106148927564,0.16368360174597385,0.1625,3.0,0.0,1.0,0.0
predictive-seed3,validation_D,all,steady,6437,1.7118342663998447,1.0192595720291138,0.7520379619368558,0.22825010990900513,0.22808082181140282,2.9999592759667744,-3.6077246044443985e-06,0.9978250737921392,0.0
predictive-seed3,validation_D,all,high_risk,565,1.6139032492595435,1.0192595720291138,0.7173504179113629,0.2618769129618511,0.2635232300884956,2.9995519653885765,-7.566250531019363e-05,0.9769911504424779,0.0
predictive-seed3,validation_D,all,static_near,213,1.6821336645475575,1.0192595720291138,0.7417342409338178,0.2382622378153379,0.2400968309859155,2.9998132913884983,-0.00010902780882069762,0.9859154929577465,0.0
predictive-seed3,validation_D,success,steady,5885,1.7249741125127067,1.0192595720291138,0.7563114876689707,0.22413293923252964,0.2235662701784197,2.999962213820285,0.0,0.9981308411214953,0.0
predictive-seed3,validation_D,success,high_risk,308,1.6820865900485547,1.0192595720291138,0.7383473144381798,0.24168014647976038,0.239549512987013,2.9993072382428427,-6.339737734237275e-05,0.9675324675324676,0.0
predictive-seed3,validation_D,success,static_near,162,1.723874123008163,1.0192595720291138,0.7554924202332768,0.22500335261021304,0.22511574074074073,3.0,0.0,1.0,0.0
predictive-seed3,validation_D,failure,steady,552,1.571747320069783,1.0192595720291138,0.706476913144289,0.27214422119715403,0.2762115036231884,2.9999279548292574,-4.207051318624745e-05,0.9945652173913043,0.0
predictive-seed3,validation_D,failure,high_risk,257,1.5321893622439196,1.0192595720291138,0.692186822073777,0.28608159808435674,0.29225437743190663,2.9998452570651755,-9.036156917824356e-05,0.9883268482490273,0.0
predictive-seed3,validation_D,failure,static_near,51,1.5495463259079878,1.0192595720291138,0.6980317890414184,0.28037869670220517,0.28768382352941174,2.9992202169754925,-0.0004553514368393842,0.9411764705882353,0.0
predictive-seed3,common_encounters,all,steady,6814,1.7193347065372484,1.0192595720291138,0.7552763260714949,0.2250390307743147,0.2248174713824479,2.9999103705257415,-6.623883243176746e-06,0.99750513648371,0.0
predictive-seed3,common_encounters,all,high_risk,516,1.67010928309241,1.0192595720291138,0.7332954489461007,0.24645970237971893,0.24797117248062014,2.9988164045782977,-8.74712023624154e-05,0.9670542635658915,0.0
predictive-seed3,common_encounters,all,static_near,149,1.669583113001497,1.0192595720291138,0.7373825264025778,0.2421131928421438,0.25010486577181207,2.998764645933305,1.2084941736003696e-05,0.9731543624161074,0.0
predictive-seed3,common_encounters,success,steady,5900,1.7239329164715136,1.0192595720291138,0.7573375177106278,0.2230229341072574,0.22264300847457627,3.0,0.0,1.0,0.0
predictive-seed3,common_encounters,success,high_risk,165,1.6937212134852553,1.0192595720291138,0.7461439905815257,0.23387137349641332,0.23948863636363638,3.0,0.0,1.0,0.0
predictive-seed3,common_encounters,success,static_near,82,1.699559649316276,1.0192595720291138,0.7512783879064522,0.22867962937108047,0.24161585365853658,3.0,0.0,1.0,0.0
predictive-seed3,common_encounters,failure,steady,914,1.6896526073992122,1.0192595720291138,0.7419710408735899,0.23805322151352473,0.2388539387308534,2.999331799521227,-4.938199170569622e-05,0.9814004376367614,0.0
predictive-seed3,common_encounters,failure,high_risk,351,1.659009657694064,1.0192595720291138,0.727255536211499,0.2523772928804181,0.25195868945868943,2.9982600135680957,-0.00012859014364389272,0.9515669515669516,0.0
predictive-seed3,common_encounters,failure,static_near,67,1.6328954118401258,1.0192595720291138,0.7203756511291795,0.25855427052314667,0.26049440298507465,2.9972527200606334,2.687546744275449e-05,0.9402985074626866,0.0
